id,90dayslate,revolve_util,debt_ratio,credit_lines,income,30dayslate,delinquent
2,0,0.26,0.324,4,1956.592205,0,0
6,0,0.25,0.927,6,3983.456356,0,0
52,0,0.46,0.372,7,3595.370678,0,0
76,2,0.88,0.154,3,1729.964479,2,0
84,0,0.14,0.69,7,2507.165171,0,0
86,0,0.11,0.131,5,2126.599617,0,0
100,0,0.32,0.188,7,5158.108717,0,0
112,0,0.28,0.251,4,2752.624174,0,0
132,0,0.17,0.343,4,1108.773033,0,0
138,0,0.34,0.474,4,1328.469626,0,0
144,0,0.37,0.385,5,3893.312927,0,0
154,0,0.3,0.068,4,4710.402603,0,0
180,0,0.34,0.452,3,2848.785229,0,0
184,0,0.51,0.192,4,3937.134428,0,0
188,0,0.47,0.509,7,2158.234913,0,0
194,0,0.23,0.201,5,2133.61894,0,0
198,0,0.35,0.104,6,4285.517105,0,0
214,0,0.28,0.017,4,534.0020253,0,0
222,0,0.3,0.043,4,1334.184623,0,0
230,0,0.23,0.34,5,5593.761696,2,0
248,0,0.34,0.472,7,4573.902152,0,0
269,0,0.18,0.219,3,2831.876023,0,0
289,0,0.25,0.395,5,1721.787238,0,0
317,0,0.29,0.491,7,2145.039929,0,0
319,0,0.39,0.391,4,763.2642999,0,0
345,0,0.69,0.182,4,3838.197363,0,0
349,0,0.36,0.116,6,3731.735916,0,0
389,0,0.51,0.415,4,555.7949671,0,0
421,0,0.22,0.025,6,1452.634505,0,0
423,0,0.54,0.373,6,5421.287767,0,0
435,0,0.18,0.207,4,1704.975665,0,0
445,0,0.39,0.152,6,3119.110429,0,0
449,1,0.59,0.15,4,4070.903846,1,1
457,0,0.13,0.451,3,3591.287852,0,1
465,0,0.26,0.219,3,5181.951838,1,0
467,0,0.25,0.994,4,4209.855149,0,0
481,1,0.31,0.04,4,3115.084174,3,1
514,0,0.27,0.27,4,2693.908022,0,0
518,0,0.28,0.014,4,2106.821605,0,0
554,1,0.59,0.506,5,4036.587965,0,1
558,0,0.44,0.576,4,2826.863966,0,0
582,0,0.2,0.75,7,3306.649792,0,0
586,0,0.32,0.115,6,5922.380958,0,0
632,0,0.41,0.188,6,4823.582311,0,0
640,0,0.38,0.136,5,3153.379903,0,0
648,1,0.37,0.281,4,6141.367904,2,0
670,0,0.16,0.191,6,4795.058875,0,0
676,0,0.54,0.972,5,2145.845816,0,0
682,1,0.22,0.084,4,1914.378518,1,0
712,0,0.52,0.435,6,1514.15964,0,0
726,0,0.27,0.207,5,6615.788229,0,0
732,0,0.38,0.21,4,2397.510605,0,0
740,0,0.35,0.288,3,2673.432395,0,0
764,0,0.17,0.345,8,4776.371462,0,0
781,0,0.19,0.469,6,3833.432361,1,0
783,0,0.22,0.14,4,2583.317138,1,0
789,0,0.41,0.101,5,1354.721196,0,0
821,0,0.45,0.03,3,2224.854968,0,0
825,0,0.3,0.255,4,1787.957649,0,0
827,0,0.17,0.168,7,1859.814052,0,0
863,0,0.25,0.356,5,2509.602946,0,0
865,0,0.29,0.202,5,5224.808021,0,0
893,0,0.31,0.326,5,6540.859282,0,0
909,0,0.14,0.043,5,2924.102929,0,0
913,0,0.29,0.787,6,2630.211367,0,0
939,1,0.79,0.32,3,2164.415404,0,0
949,0,0.42,0.245,4,1503.543519,0,0
963,0,0.44,0.131,6,2139.738814,0,0
979,0,0.19,0.085,5,1166.882698,0,0
989,0,0.3,0.464,5,5305.160922,1,0
999,0,0.46,0.038,6,1553.775708,0,0
1028,0,0.09,0.237,4,3281.740415,0,0
1054,0,0.23,0.134,3,3798.11742,0,0
1060,0,0.16,0.039,5,6058.308384,0,0
1106,0,0.58,0.569,5,3427.618167,0,0
1110,0,0.54,0.561,4,3076.586495,0,0
1116,0,0.21,0.032,4,2188.404791,0,0
1122,0,0.5,0.016,9,1722.263033,0,0
1136,0,0.21,1.157,6,3362.713811,0,0
1140,0,0.31,0.378,3,1847.974359,0,0
1148,0,0.09,0.045,7,1889.425552,0,0
1160,0,0.28,0.562,5,3569.892628,0,0
1162,0,0.29,0.022,7,5934.594992,0,0
1194,1,0.4,0.468,6,6739.01591,0,0
1168,0,0.16,0.324,7,2147.093445,0,0
1206,0,0.26,0.028,5,8067.298644,0,0
1204,0,0.44,0.48,6,2918.496588,1,0
1252,0,0.25,0.14,6,4732.407041,0,0
1210,0,0.29,0.165,4,2033.262742,0,0
1268,0,0.25,0.151,5,2014.707343,0,0
1262,0,0.26,0.401,5,5644.368521,0,0
1297,0,0.23,0.7,4,3953.711927,0,0
1281,0,0.38,0.11,4,5258.72247,0,0
1367,0,0.74,0.334,7,5261.466003,0,0
1321,1,0.67,0.24,4,3090.931931,1,0
1379,0,0.37,0.934,4,5363.290039,0,0
1377,0,0.23,0.185,5,3690.67976,0,0
1389,2,0.59,0.278,3,5766.293563,0,0
1383,1,0.38,0.402,2,3892.434597,2,0
1405,0,0.27,1.08,7,4238.19139,1,0
1397,1,0.62,0.504,3,5714.907472,0,0
1425,0,0.4,0.039,4,2321.652753,0,0
1407,0,0.11,0.156,3,6223.707935,0,0
1435,0,0.21,0.114,7,2708.045725,0,0
1433,0,0.36,0.296,4,1442.273441,0,0
1441,0,0.33,0.14,6,6731.051362,0,0
1439,0,0.21,0.251,7,1732.995779,0,0
1465,1,0.38,0.285,3,2747.099354,0,0
1457,0,0.29,0.3,6,3312.021697,0,0
1503,0,0.18,0.068,4,5484.219109,0,0
1497,0,0.2,0.101,6,3028.07518,0,0
1533,0,0.41,0.268,5,4063.616955,0,0
1515,0,0.12,0.108,7,3802.444919,0,0
1554,0,0.53,0.633,6,1572.759218,0,0
1540,0,0.21,0.241,5,3888.516117,0,0
1586,0,0.6,0.296,6,3517.17665,1,0
1574,0,0.27,0.331,4,755.2650896,0,0
1658,0,0.24,0.143,5,3453.243606,0,0
1616,1,0.33,0.369,3,2319.550815,0,0
61,0,0.57,1.131,7,3191.39275,0,1
7,1,0.68,1.513,4,4076.987933,1,1
139,0,0.54,0.048,5,2105.402882,2,0
91,0,0.35,0.675,6,2820.658562,0,0
161,0,0.37,0.138,6,4300.056047,0,0
153,0,0.26,0.158,3,1483.64873,0,0
183,0,0.34,0.032,5,5727.829812,0,0
173,0,0.16,0.558,7,2128.207747,0,0
189,1,0.92,0.179,7,8741.154712,1,0
185,0,0.18,0.112,7,2540.514898,0,0
217,0,0.53,0.308,5,3654.459639,0,0
207,0,0.17,0.117,7,2770.47423,0,0
223,0,0.27,0.398,4,3242.714508,0,0
219,0,0.21,0.274,7,3793.582857,0,0
276,0,0.31,0.41,5,5388.654943,0,0
272,0,0.27,0.483,4,4877.435107,0,0
284,1,0.49,0.206,3,1581.544542,0,0
278,0,0.47,0.092,5,9422.127183,0,0
302,1,0.4,0.077,4,1736.763673,0,0
292,1,0.78,0.421,3,1941.966067,0,0
352,0,0.34,0.387,5,6226.514852,0,0
306,0,0.35,0.28,5,555.1473509,0,0
392,0,0.25,0.183,3,2771.244633,0,0
356,0,0.31,0.623,5,8053.753879,0,0
396,0,0.59,1.593,5,1578.279272,0,1
394,0,0.22,0.069,4,1373.974164,0,0
434,0,0.39,0.3,5,3328.595276,0,0
424,0,0.2,0.204,7,3628.963703,0,0
470,0,0.3,0.661,4,3177.231049,0,0
450,0,0.47,0.818,4,2290.198378,0,1
508,0,0.31,0.223,4,3003.342805,0,0
484,0,0.34,0.215,4,6858.729545,0,0
539,0,0.7,0.371,6,2029.454742,0,0
523,0,0.24,0.917,6,1576.784383,0,0
569,0,0.18,0.062,3,3232.846426,0,0
555,0,0.22,0.212,6,2781.370904,0,0
583,0,0.5,0.24,5,2449.636312,0,0
571,0,0.13,0.445,5,8060.759278,0,0
609,1,0.36,0.278,5,2867.239281,1,0
591,0,0.47,0.788,9,3061.571735,0,0
659,0,0.2,0.78,3,1863.369885,0,0
649,0,0.5,0.184,7,7045.338707,0,0
705,0,0.23,0.707,6,2220.158908,0,0
683,0,0.42,0.144,6,2678.921571,0,0
715,0,0.2,0.024,5,4349.917406,0,0
707,0,0.09,0.314,4,6008.194794,0,0
737,0,0.11,0.246,6,2248.205919,0,0
725,0,0.26,0.273,5,4236.851188,0,0
768,0,0.31,0.304,4,4292.684376,0,0
763,0,0.41,0.331,5,1716.806766,0,0
780,0,0.29,0.178,5,3309.462083,0,0
778,0,0.34,0.401,5,1741.80127,0,0
824,0,0.24,0.201,5,3192.288328,0,0
818,0,0.17,0.081,5,7142.009637,0,0
840,0,0.36,0.492,7,1634.769152,0,0
834,0,0.24,0.238,7,1483.933186,0,0
848,0,0.15,0.593,4,6624.649678,0,0
844,0,0.27,0.068,3,5222.258787,0,0
878,0,0.08,0.045,4,3704.372782,0,0
860,0,0.17,0.356,4,3177.319166,0,0
934,0,0.35,0.171,10,2102.283125,0,0
884,0,0.32,0.164,4,2581.697679,1,0
958,0,0.38,0.085,4,918.2116896,0,0
938,0,0.47,0.1,4,5167.189272,0,0
1008,0,0.28,0.184,5,2631.6778,0,0
970,0,0.21,0.359,6,3320.196934,0,0
1045,1,0.31,0.317,3,2783.971789,0,0
1018,0,0.27,0.4,6,3154.372594,0,0
1051,0,0.26,0.131,6,8002.784815,0,0
1047,0,0.5,1.004,6,7739.757343,0,0
1061,0,0.39,0.871,4,1177.217077,0,0
1055,0,0.18,0.482,5,4069.634891,0,0
1087,0,0.35,0.274,5,1226.239496,0,0
1075,0,0.24,0.305,6,3009.537712,0,0
1131,0,0.3,0.199,4,2751.92669,0,0
1089,0,0.22,0.012,6,1734.605871,0,0
1181,0,0.35,0.254,6,1300.421829,0,0
1173,0,0.19,0.197,6,1795.979245,0,0
1197,0,0.16,0.076,5,5992.695528,0,0
1183,0,0.4,0.286,4,2438.752125,0,0
1201,0,0.5,0.18,7,1777.569214,0,0
1199,0,0.18,0.167,6,4631.947457,0,0
1229,0,0.44,0.429,5,1723.888577,1,0
1227,0,0.54,0.585,4,7849.513404,0,0
1233,0,0.34,0.318,3,2062.743932,0,0
1231,1,0.27,0.21,3,6737.247335,0,0
1273,0,0.24,0.687,6,2458.874402,0,0
1249,0,0.52,0.1,6,1826.576128,0,0
1364,0,0.3,0.11,4,6214.929632,0,0
1318,0,0.36,0.303,5,971.6774677,0,0
1380,1,0.59,0.104,3,1118.392453,0,0
1372,0,0.2,0.222,6,9413.82905,0,0
1420,0,0.18,0.505,6,781.4175958,0,0
1416,0,0.28,0.155,4,5456.388948,0,0
1438,0,0.28,0.311,5,3325.76924,0,0
1436,0,0.38,0.787,5,1839.557935,0,0
1448,1,0.56,0.34,3,4035.581047,1,1
1446,0,0.24,0.851,5,5311.044685,0,0
1496,0,0.22,0.244,7,2000.783851,0,0
1480,0,0.76,0.72,5,6812.347675,0,0
1504,0,0.45,0.128,5,2142.535942,0,0
1502,0,0.53,0.403,6,1346.30163,0,0
1514,0,0.39,0.808,5,3212.823306,0,1
1508,1,1.05,0.133,4,4302.275233,1,0
1537,0,0.29,0.433,7,1478.238497,0,0
1534,1,0.37,0.273,4,1568.500117,0,1
1593,0,0.32,0.133,7,1517.769146,0,0
1543,0,0.19,0.148,6,5050.355882,0,0
1601,0,0.25,0.093,4,1333.780506,0,0
1599,0,0.3,0.894,4,5419.073429,0,0
1625,0,0.26,0.05,5,5106.454287,0,0
1605,1,0.51,0.096,5,2213.965493,1,1
1629,0,0.61,0.174,4,2458.064619,0,1
1627,0,0.51,0.083,4,1290.861033,0,0
1645,0,0.29,0.122,6,971.9002651,0,0
1639,0,0.47,0.477,6,4942.488796,0,0
1719,0,0.19,0.08,5,1634.24998,0,0
1653,0,0.28,0.248,5,3617.679538,0,0
1670,0,0.33,0.107,5,3468.180427,0,0
1725,0,0.13,0.223,4,1640.933594,0,0
1736,1,0.3,0.456,4,2564.408686,2,0
1734,1,0.37,0.106,6,2297.626441,1,0
1752,0,0.62,0.366,7,2824.593856,0,0
1746,0,0.5,0.156,4,4071.929394,0,0
1795,0,0.45,0.096,8,1486.518845,0,0
1786,0,0.12,0.111,7,3289.225771,0,0
1819,1,0.59,0.369,4,3267.24391,0,0
1811,0,0.17,0.262,6,5691.099603,0,0
1849,0,0.5,0.47,5,5851.460525,0,0
1827,0,0.26,0.168,5,2406.411778,0,0
1909,1,0.64,0.216,3,2932.127989,0,0
1897,0,0.11,0.746,6,6328.390287,0,0
1917,0,0.36,0.074,6,2982.639147,0,0
1913,0,0.41,0.21,5,1882.885788,0,0
1955,0,0.16,0.371,5,7619.640136,0,0
1933,0,0.36,0.389,5,4099.364543,1,0
1975,0,0.17,0.248,6,3773.789475,0,0
1959,0,0.31,0.682,7,4010.699202,0,0
1989,0,0.2,0.97,3,3895.613665,0,0
1987,0,0.46,0.06,4,3615.430398,0,0
2009,0,0.23,0.032,5,2332.896469,0,0
1995,0,0.32,0.012,5,3434.172387,0,0
2056,1,0.51,0.148,5,2637.158207,0,0
2043,0,0.08,0.238,5,7074.374324,0,0
2088,0,0.37,0.043,6,1209.583064,0,0
2058,0,0.24,0.396,4,3996.720352,0,0
2102,0,0.43,0.105,5,3244.113985,0,0
2096,0,0.21,0.062,5,3494.979181,0,0
2110,0,0.25,0.409,5,1742.063807,1,0
2106,0,0.3,0.671,4,2695.567537,0,0
2114,0,0.11,0.249,8,9458.771605,0,0
2112,0,0.29,0.035,4,3435.454266,0,0
2120,0,0.35,0.193,3,1554.791332,0,0
2118,0,0.22,0.088,5,3315.31928,0,0
2164,1,0.23,0.268,4,6197.622872,0,0
2160,0,0.28,0.323,5,3248.118014,0,0
2184,0,0.82,0.193,7,2270.947364,0,0
2172,1,0.28,0.056,5,3162.541775,0,0
2204,1,0.31,0.513,4,1779.330838,1,0
2202,1,0.46,0.181,5,2125.348748,0,0
2272,0,0.52,0.516,6,10716.19274,0,0
2270,0,0.25,0.361,6,3210.5521,0,0
2298,0,0.36,0.205,5,3056.788511,0,0
2286,0,0.25,0.388,4,2835.909175,0,0
2311,0,0.18,0.167,5,1322.588602,0,0
2300,1,0.33,0.182,5,4908.051304,1,0
2331,0,0.15,0.207,4,886.481947,0,0
2327,0,0.23,0.151,5,2533.018027,2,0
2383,0,0.51,0.393,3,1999.797342,0,0
2337,0,0.31,0.366,6,6012.577811,0,0
2389,0,0.3,0.095,6,4085.333192,0,0
2385,0,0.21,0.196,8,4190.797099,0,0
2425,0,0.33,0.521,6,5188.714182,0,0
2417,0,0.19,0.473,4,4957.331892,0,0
2471,2,0.85,0.937,5,2032.844831,0,1
2433,0,0.4,0.401,4,3035.501897,0,0
2515,1,0.49,0.138,5,2670.613641,0,0
2475,0,0.52,0.169,4,3393.224076,0,0
2568,0,0.4,0.13,5,3408.590346,0,0
2564,0,0.56,0.354,5,822.1033893,0,0
2596,0,0.38,0.078,6,4291.816354,0,0
2592,0,0.13,0.538,5,4160.8272,0,0
2616,0,0.35,0.347,7,4745.137146,0,0
2610,1,0.8,1.025,5,2275.491927,2,1
2702,0,0.34,0.015,5,4126.572303,0,0
2648,0,0.71,0.28,4,1886.42546,0,0
2716,0,0.29,0.736,5,4004.111467,1,0
2714,0,0.23,0.133,4,1858.153164,0,0
2752,0,0.33,0.366,5,5208.393763,0,0
2728,0,0.24,0.282,4,1400.358367,0,0
2776,1,0.51,0.878,3,1641.630075,1,0
2774,0,0.24,0.491,6,2406.115487,0,0
2796,1,0.33,0.118,5,3018.011093,0,0
2794,0,0.3,0.67,5,1020.837518,0,0
2897,0,0.28,0.139,4,4186.47798,0,0
2883,0,0.34,0.484,3,5189.499624,0,0
2949,0,0.52,0.138,6,4284.457233,0,0
2909,0,0.35,0.319,4,4706.370939,0,0
2981,0,0.23,0.858,7,3403.475476,0,1
2965,0,0.28,0.514,5,2382.026013,0,0
3005,0,0.22,0.244,6,3786.457466,0,0
3001,0,0.2,0.502,5,3026.564229,3,0
3041,0,0.11,0.472,5,726.9062335,0,0
3031,0,0.31,0.381,4,4887.855878,0,0
3051,0,0.29,0.271,7,406.8375313,0,0
3045,0,0.3,0.059,4,3362.717202,0,0
3138,0,0.13,0.161,4,1493.566785,0,0
3072,0,0.34,0.181,6,3760.565536,0,0
3200,0,0.13,0.326,3,1071.341544,0,0
3180,0,0.29,0.596,6,1360.39274,0,0
3220,0,0.46,1.247,4,794.9499968,0,0
3212,0,0.35,0.448,6,1700.903491,0,0
3296,1,0.74,0.254,3,1375.070193,0,0
3248,0,0.2,0.374,4,994.5933863,0,0
3314,0,0.18,0.113,5,3942.100071,0,0
